Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,814,128,-1.000,-1.000,-4249672
1,2,812,130,0.365,0.182,-4182599
1,3,812,130,0.000,0.000,-3458876
1,4,812,121,1.161,0.581,-8156791
1,5,809,117,0.645,0.322,-5400155
1,6,810,126,1.168,0.584,-16897
1,7,806,117,1.271,0.635,-4022336
1,8,832,97,4.232,2.116,-4473925
1,9,828,101,0.730,0.365,-6974059
1,10,844,98,2.100,1.050,-6250336
1,11,840,89,1.271,0.635,-7500403
1,12,833,85,1.040,0.520,-6710887
1,13,828,74,1.559,0.779,-7303024
1,14,826,65,1.189,0.595,-7368817
1,15,822,58,1.040,0.520,-7566196
1,16,857,108,7.873,3.937,-7566196
1,17,865,121,1.969,0.985,-6579301
1,18,868,132,1.471,0.735,-7303024
1,19,841,86,6.881,3.440,-7039852
1,20,852,101,2.400,1.200,-6513508
1,21,838,82,3.045,1.522,-7105645
1,22,840,89,0.939,0.470,-7108468
1,23,826,57,4.506,2.253,-6711400
1,24,816,34,3.235,1.618,-6908266
1,25,805,29,1.559,0.779,-8026747
1,26,798,32,0.982,0.491,-7039852
1,27,798,30,0.258,0.129,-3092272
2,1,730,270,-1.000,-1.000,-3707801
2,2,725,274,0.826,0.413,-3291191
2,3,718,272,0.939,0.470,-4737097
2,4,693,321,7.096,3.548,-7913728
2,5,694,318,0.408,0.204,-8377300
2,6,694,324,0.774,0.387,-1459805
2,7,708,326,1.824,0.912,-5397586
2,8,722,329,1.847,0.923,-5985885
2,9,722,329,0.000,0.000,-7564917
2,10,738,329,2.064,1.032,-7500403
2,11,750,329,1.548,0.774,-7566196
2,12,750,329,0.000,0.000,-7763064
2,13,764,328,1.811,0.905,-7697782
2,14,780,322,2.204,1.102,-7434610
2,15,789,325,1.224,0.612,-7039852
2,16,789,329,0.516,0.258,-7368817
2,17,798,329,1.161,0.581,-7697782
2,18,786,329,1.548,0.774,-7960954
2,19,793,333,1.040,0.520,-7829619
2,20,780,329,1.755,0.877,-8826854
2,21,774,333,0.930,0.465,-6384504
2,22,777,337,0.645,0.322,-8420226
2,23,773,338,0.532,0.266,-8614775
2,24,772,344,0.785,0.392,-6323313
2,25,720,336,6.787,3.393,-10189211
2,26,690,336,3.870,1.935,-7699322
2,27,681,322,2.147,1.073,-5263441
3,1,449,253,-1.000,-1.000,-8880548
3,2,449,253,0.000,0.000,-3748694
3,3,468,233,3.559,1.779,-4342590
3,4,474,232,0.785,0.392,-6317637
3,5,480,224,1.290,0.645,-6513508
3,6,470,224,1.290,0.645,-3222386
3,7,485,233,2.257,1.128,-5066062
3,8,505,228,2.659,1.330,-5855578
3,9,520,228,1.935,0.967,-5855578
3,10,512,225,1.102,0.551,-7895161
3,11,517,224,0.658,0.329,-7434610
3,12,521,225,0.532,0.266,-7829368
3,13,522,228,0.408,0.204,-2431109
3,14,514,212,2.308,1.154,-7895420
3,15,502,216,1.632,0.816,-8092540
3,16,492,214,1.316,0.658,-7237231
3,17,480,213,1.553,0.777,-8684677
3,18,490,202,1.918,0.959,-9408909
3,19,484,213,1.616,0.808,-917751
3,20,469,214,1.939,0.970,-9013642
3,21,462,210,1.040,0.520,-9342607
3,22,445,213,2.227,1.113,-9408400
3,23,429,218,2.162,1.081,-9145228
3,24,428,225,0.912,0.456,-8882056
3,25,422,233,1.290,0.645,-8355712
3,26,434,210,3.347,1.673,-8289919
3,27,437,210,0.387,0.193,-3552823
4,1,698,734,-1.000,-1.000,-4737097
4,2,704,745,1.616,0.808,-8007718
4,3,706,752,0.939,0.470,-4606024
4,4,706,777,3.225,1.612,-7631989
4,5,704,786,1.189,0.595,-6579301
4,6,696,788,1.064,0.532,-1907998
4,7,685,794,1.616,0.808,-3881788
4,8,685,800,0.774,0.387,-4539718
4,9,696,812,2.100,1.050,-6579301
4,10,696,814,0.258,0.129,-6978946
4,11,693,828,1.847,0.923,-7960954
4,12,689,840,1.632,0.816,-7960954
4,13,701,826,2.379,1.189,-9402222
4,14,708,825,0.912,0.456,-7571327
4,15,704,833,1.154,0.577,-8355712
4,16,709,821,1.677,0.839,-8880514
4,17,702,816,1.110,0.555,-8728367
4,18,684,808,2.541,1.271,-9079435
4,19,698,796,2.379,1.189,-9012864
4,20,700,789,0.939,0.470,-9013642
4,21,693,781,1.371,0.686,-8161144
4,22,686,773,1.371,0.686,-8487298
4,23,688,765,1.064,0.532,-7437692
4,24,694,754,1.616,0.808,-9077105
4,25,704,733,3.000,1.500,-7763834
4,26,704,710,2.967,1.484,-7566196
4,27,716,702,1.860,0.930,-4720649
5,1,921,181,-1.000,-1.000,-8026747
5,2,934,188,1.905,0.952,-2894893
5,3,920,176,2.379,1.189,-3881788
5,4,932,196,3.009,1.504,-4539718
5,5,940,213,2.424,1.212,-5789785
5,6,930,213,1.290,0.645,-2500135
5,7,917,222,2.040,1.020,-4802890
5,8,921,217,0.826,0.413,-4473925
5,9,936,216,1.939,0.970,-460552
5,10,944,217,1.040,0.520,-6842473
5,11,949,218,0.658,0.329,-6645094
5,12,926,221,2.992,1.496,-4473925
5,13,926,237,2.064,1.032,-7105645
5,14,914,237,1.548,0.774,-7237231
5,15,922,238,1.040,0.520,-5855578
5,16,944,216,4.014,2.007,-7237231
5,17,949,217,0.658,0.329,-6842473
5,18,925,264,6.808,3.404,-5789785
5,19,922,288,3.120,1.560,-6908518
5,20,920,300,1.569,0.785,-5395029
5,21,930,285,2.326,1.163,-7236718
5,22,926,281,0.730,0.365,-1
5,23,924,297,2.080,1.040,-4868683
5,24,926,280,2.208,1.104,-6052957
5,25,920,214,8.549,4.275,-7105645
5,26,902,189,3.974,1.987,-7434610
5,27,897,181,1.217,0.608,-3487030
6,1,274,378,-1.000,-1.000,-6710109
6,2,278,369,1.271,0.635,-1578930
6,3,256,377,3.020,1.510,-5329234
6,4,264,377,1.032,0.516,-8355712
6,5,277,378,1.682,0.841,-6581593
6,6,274,378,0.387,0.193,-4341561
6,7,274,376,0.258,0.129,-5920090
6,8,274,376,0.000,0.000,-5591125
6,9,274,376,0.000,0.000,-6449257
6,10,274,376,0.000,0.000,-8028792
6,11,274,376,0.000,0.000,-7568241
6,12,274,376,0.000,0.000,-7765927
6,13,274,376,0.000,0.000,-6450067
6,14,274,376,0.000,0.000,-6910618
6,15,274,376,0.000,0.000,-7239583
6,16,266,376,1.032,0.516,-9012364
6,17,266,376,0.000,0.000,-8814985
6,18,266,376,0.000,0.000,-8222848
6,19,266,376,0.000,0.000,-8025469
6,20,266,376,0.000,0.000,-7700078
6,21,288,369,2.978,1.489,-8421757
6,22,258,370,3.872,1.936,-7764088
6,23,242,382,2.580,1.290,-7895161
6,24,242,382,0.000,0.000,-8158333
6,25,242,378,0.516,0.258,-8093541
6,26,242,378,0.000,0.000,-7500391
6,27,234,381,1.102,0.551,-4342339
7,1,452,253,-1.000,-1.000,-5792869
7,2,449,253,0.387,0.193,-3748694
7,3,473,236,3.794,1.897,-5263189
7,4,473,226,1.290,0.645,-9210780
7,5,480,226,0.903,0.451,-6644842
7,6,474,220,1.095,0.547,-3751994
7,7,485,228,1.755,0.877,-5592406
7,8,508,226,2.978,1.489,-4868683
7,9,524,228,2.080,1.040,-7039852
7,10,514,221,1.575,0.787,-7171438
7,11,520,221,0.774,0.387,-5658199
7,12,533,221,1.677,0.839,-7697782
7,13,528,230,1.328,0.664,-7828865
7,14,537,221,1.642,0.821,-7765105
7,15,509,209,3.930,1.965,-8092540
7,16,502,208,0.912,0.456,-8289911
7,17,486,216,2.308,1.154,-9671572
7,18,480,218,0.816,0.408,-7765857
7,19,481,229,1.425,0.712,-8421495
7,20,473,218,1.755,0.877,-7368817
7,21,460,209,2.040,1.020,-8553091
7,22,444,218,2.368,1.184,-8553091
7,23,437,220,0.939,0.470,-7566196
7,24,424,220,1.677,0.839,-7829368
7,25,429,221,0.658,0.329,-9013642
7,26,438,214,1.471,0.735,-6645094
7,27,434,212,0.577,0.288,-3684409
8,1,745,572,-1.000,-1.000,-7173496
8,2,750,564,1.217,0.608,-4018776
8,3,762,540,3.461,1.731,-4144960
8,4,768,534,1.095,0.547,-7303024
8,5,768,556,2.838,1.419,-5789785
8,6,757,550,1.616,0.808,-11068
8,7,744,561,2.197,1.098,-593706
8,8,742,570,1.189,0.595,-6837083
8,9,741,574,0.532,0.266,-6447463
8,10,728,586,2.282,1.141,-6645094
8,11,725,588,0.465,0.233,-7237231
8,12,729,576,1.632,0.816,-6647915
8,13,738,581,1.328,0.664,-7895161
8,14,729,586,1.328,0.664,-7631989
8,15,730,572,1.811,0.905,-3002048
8,16,730,562,1.290,0.645,-8420466
8,17,734,564,0.577,0.288,-7391170
8,18,732,558,0.816,0.408,-7368817
8,19,737,557,0.658,0.329,-6975088
8,20,742,544,1.797,0.898,-6249305
8,21,757,536,2.193,1.097,-5526613
8,22,768,517,2.832,1.416,-5395027
8,23,768,528,1.419,0.710,-5852504
8,24,769,532,0.532,0.266,-5066575
8,25,782,520,2.282,1.141,-6052957
8,26,792,513,1.575,0.787,-6313560
8,27,794,513,0.258,0.129,-8
9,1,877,846,-1.000,-1.000,-5658199
9,2,877,848,0.258,0.129,-3552823
9,3,904,860,3.812,1.906,-5592406
9,4,913,872,1.935,0.968,-9868951
9,5,920,865,1.277,0.639,-6579301
9,6,929,842,3.186,1.593,-657931
9,7,934,834,1.217,0.608,-4539718
9,8,928,832,0.816,0.408,-5460820
9,9,921,825,1.277,0.639,-7105645
9,10,918,818,0.982,0.491,-7829368
9,11,910,812,1.290,0.645,-7500403
9,12,908,805,0.939,0.470,-7829368
9,13,900,806,1.040,0.520,-8092540
9,14,908,810,1.154,0.577,-8158333
9,15,908,800,1.290,0.645,-8553091
9,16,905,790,1.347,0.673,-8092540
9,17,897,780,1.652,0.826,-8092540
9,18,890,774,1.189,0.595,-7960954
9,19,902,781,1.792,0.896,-7500916
9,20,901,802,2.712,1.356,-7173497
9,21,900,804,0.288,0.144,-7174007
9,22,914,813,2.147,1.073,-5206361
9,23,914,817,0.516,0.258,-5927240
9,24,926,817,1.548,0.774,-7434359
9,25,942,833,2.919,1.459,-8026747
9,26,944,838,0.695,0.347,-7236972
9,27,917,816,4.493,2.246,-1857825
10,1,224,768,-1.000,-1.000,-4341308
10,2,229,769,0.658,0.329,-3635074
10,3,237,728,5.389,2.694,-5592406
10,4,238,718,1.296,0.648,-8947849
10,5,238,728,1.290,0.645,-7566196
10,6,234,741,1.755,0.877,-997937
10,7,234,762,2.709,1.355,-6058104
10,8,233,746,2.068,1.034,-7502715
10,9,237,730,2.128,1.064,-7631989
10,10,240,706,3.120,1.560,-9013642
10,11,238,701,0.695,0.347,-8158333
10,12,237,710,1.168,0.584,-7963525
10,13,244,698,1.792,0.896,-9014671
10,14,234,764,8.611,4.306,-7848896
10,15,237,760,0.645,0.323,-9799837
10,16,236,748,1.553,0.777,-6540488
10,17,234,780,4.136,2.068,-8816774
10,18,253,806,4.154,2.077,-9539986
10,19,265,808,1.569,0.785,-8355712
10,20,257,805,1.102,0.551,-9671572
10,21,269,812,1.792,0.896,-9145228
10,22,272,808,0.645,0.323,-9473164
10,23,268,813,0.826,0.413,-9868951
10,24,276,813,1.032,0.516,-8882058
10,25,242,776,6.482,3.241,-8618884
10,26,234,762,2.080,1.040,-5562064
10,27,226,748,2.080,1.040,-3684922
11,1,705,732,-1.000,-1.000,-6841444
11,2,706,740,1.040,0.520,-9114898
11,3,700,734,1.095,0.547,-11869208
11,4,697,726,1.102,0.551,-8743011
11,5,709,749,3.347,1.673,-6315616
11,6,705,786,4.801,2.400,-262660
11,7,700,789,0.752,0.376,-2894893
11,8,686,800,2.297,1.148,-5000269
11,9,688,802,0.365,0.182,-6052957
11,10,692,812,1.389,0.695,-6905456
11,11,693,826,1.811,0.905,-8421505
11,12,693,837,1.419,0.710,-7763575
11,13,686,834,0.982,0.491,-7960954
11,14,704,828,2.448,1.224,-7105643
11,15,693,828,1.419,0.710,-14878751
11,16,708,809,3.123,1.561,-8487298
11,17,708,821,1.548,0.774,-9010043
11,18,694,809,2.379,1.189,-10191999
11,19,694,798,1.419,0.710,-8621446
11,20,694,792,0.774,0.387,-8354683
11,21,692,778,1.824,0.912,-9010570
11,22,688,768,1.389,0.695,-8287096
11,23,686,768,0.258,0.129,-8289919
11,24,685,760,1.040,0.520,-8026747
11,25,702,728,4.674,2.337,-7174261
11,26,704,710,2.336,1.168,-7566196
11,27,714,710,1.290,0.645,-12390161
12,1,197,474,-1.000,-1.000,-5131855
12,2,194,477,0.547,0.274,-4539718
12,3,196,470,0.939,0.470,-4144960
12,4,178,508,5.424,2.712,-7368817
12,5,178,513,0.645,0.323,-7434610
12,6,189,484,4.001,2.001,-5066062
12,7,181,477,1.371,0.686,-4802890
12,8,182,477,0.129,0.065,-7697782
12,9,186,465,1.632,0.816,-4276546
12,10,192,461,0.930,0.465,-6184543
12,11,188,462,0.532,0.266,-7237231
12,12,189,460,0.288,0.144,-7697782
12,13,184,454,1.008,0.504,-8487298
12,14,169,458,2.003,1.001,-8158333
12,15,184,464,2.084,1.042,-6776680
12,16,178,456,1.290,0.645,-8026747
12,17,176,454,0.365,0.182,-7829368
12,18,170,454,0.774,0.387,-8553091
12,19,161,456,1.189,0.595,-6447715
12,20,173,469,2.282,1.141,-7237231
12,21,185,466,1.596,0.798,-8355712
12,22,196,460,1.616,0.808,-7500403
12,23,214,446,2.942,1.471,-7960954
12,24,210,449,0.645,0.323,-8289919
12,25,214,442,1.040,0.520,-7039852
12,26,222,425,2.424,1.212,-7895161
12,27,226,409,2.128,1.064,-3881788
13,1,102,833,-1.000,-1.000,-7760241
13,2,113,830,1.471,0.735,-9195652
13,3,106,822,1.371,0.686,-2960686
13,4,86,824,2.593,1.296,-9605779
13,5,98,829,1.677,0.839,-7828857
13,6,105,829,0.903,0.452,-1710619
13,7,97,829,1.032,0.516,-4802890
13,8,101,829,0.516,0.258,-3289651
13,9,110,829,1.161,0.581,-5131855
13,10,128,828,2.326,1.163,-6644067
13,11,134,830,0.816,0.408,-6184543
13,12,133,836,0.785,0.392,-8224126
13,13,114,828,2.659,1.330,-9275787
13,14,105,826,1.189,0.595,-9342607
13,15,94,822,1.510,0.755,-9079435
13,16,84,820,1.316,0.658,-9408400
13,17,92,814,1.290,0.645,-8684677
13,18,78,812,1.824,0.912,-9539986
13,19,84,812,0.774,0.387,-8553091
13,20,80,816,0.730,0.365,-7829368
13,21,68,814,1.569,0.785,-8947849
13,22,82,822,2.080,1.040,-7960954
13,23,94,826,1.632,0.816,-7763575
13,24,114,828,2.593,1.296,-8487298
13,25,122,830,1.064,0.532,-8222847
13,26,129,830,0.903,0.452,-7895161
13,27,140,836,1.616,0.808,-3487030
